7,17,2,13,1,26,21,24,4,29,8,25,31,5,10,23,6,3,30,15,20,19,16,14,12,27,0,9,11,28,18,22
26,24,2,28,29,9,11,18,25,17,23,22,1,21,13,14,3,27,6,30,5,19,20,7,10,4,8,12,0,15,31,16
24,30,17,25,21,1,19,14,20,5,15,12,29,7,28,26,3,10,0,31,2,4,6,8,9,16,22,11,18,23,27,13
9,22,12,1,7,21,13,19,10,3,25,28,29,14,6,4,26,15,31,11,24,18,27,8,0,17,23,16,5,2,20,30
22,19,5,21,11,8,1,15,3,2,13,9,14,12,25,7,26,29,20,31,23,17,0,6,27,24,16,10,30,28,18,4
21,7,9,30,0,24,16,25,13,8,1,5,12,29,27,28,31,18,3,4,10,14,2,26,22,19,20,17,6,11,15,23
1,18,16,15,8,7,4,12,20,31,23,13,25,0,21,6,11,9,17,28,14,27,10,26,19,30,2,5,24,29,22,3
27,19,12,9,20,26,8,6,13,23,21,11,24,25,18,16,1,22,14,15,7,31,4,2,0,30,5,28,3,29,10,17
29,20,6,5,17,13,14,21,28,31,16,22,7,4,1,3,8,18,23,10,24,19,9,25,15,30,11,26,12,0,27,2
5,11,3,20,13,0,24,25,9,19,17,26,31,28,14,7,18,16,6,4,23,22,12,15,2,10,1,29,8,27,30,21
18,24,30,7,10,2,28,17,8,12,23,0,15,26,29,20,16,11,9,14,27,3,13,25,22,19,6,21,5,1,31,4
9,3,15,12,20,7,1,18,25,14,30,4,22,21,28,24,6,23,31,2,19,17,5,0,16,11,29,10,27,13,26,8
16,23,24,18,11,6,30,14,26,31,21,22,28,9,7,10,5,13,17,8,2,29,25,3,0,12,15,20,1,27,19,4
5,18,14,8,4,30,12,15,27,2,22,28,31,7,1,13,20,0,6,26,9,23,17,16,11,24,21,10,3,25,19,29
0,25,31,6,18,27,3,11,15,2,9,12,14,10,8,16,23,21,1,5,4,24,26,20,7,19,17,22,28,13,30,29
22,30,29,9,24,11,12,10,5,15,31,3,14,16,28,8,27,23,25,21,0,1,7,2,4,13,6,18,20,17,26,19
14,29,7,2,25,11,15,5,30,4,31,24,21,12,3,23,0,17,18,26,19,28,10,8,6,9,27,1,22,20,13,16
3,15,14,7,26,9,0,5,8,21,28,11,10,23,30,29,27,25,19,1,24,17,13,4,6,20,16,18,2,22,31,12
7,5,13,21,18,22,23,31,27,0,1,15,19,8,11,20,3,25,24,2,29,10,12,26,4,30,9,14,28,16,6,17
8,28,21,2,18,6,9,27,19,30,15,31,20,23,10,12,1,7,11,22,4,29,13,24,14,25,5,17,0,26,16,3
26,16,29,12,17,19,11,23,5,2,1,30,14,7,3,13,27,15,4,10,18,20,25,8,0,31,28,22,9,21,24,6
0,9,13,30,21,5,15,31,29,8,1,16,20,24,2,25,14,10,26,17,7,3,18,12,4,28,23,19,22,27,6,11
5,27,11,4,31,6,25,28,18,16,13,26,14,21,9,24,17,29,20,0,22,7,12,23,3,19,10,1,15,2,8,30
5,2,18,23,22,27,14,19,0,9,6,8,16,28,31,26,29,11,24,12,10,17,15,13,4,21,25,7,3,20,30,1
11,24,0,5,29,8,19,16,15,14,10,3,1,4,6,23,27,26,12,31,22,17,7,20,30,9,21,18,13,2,25,28
23,11,3,27,7,12,16,2,15,28,20,21,9,4,19,14,30,8,25,5,26,18,10,29,22,31,6,0,24,17,1,13
29,27,0,6,8,11,21,1,9,3,30,16,31,12,15,20,17,2,28,7,4,23,22,25,18,5,10,24,19,26,13,14
6,0,13,30,10,24,8,22,11,12,19,23,21,15,4,27,29,18,28,1,16,25,17,2,26,20,31,7,14,9,3,5
6,14,19,18,27,25,4,28,12,31,22,13,9,2,0,16,8,10,21,1,20,26,7,15,17,11,24,29,3,5,30,23
9,16,21,26,20,12,31,18,23,4,14,1,29,7,13,2,28,15,6,17,30,0,11,22,24,5,19,10,3,27,25,8
28,8,27,3,31,14,11,23,17,10,21,22,25,1,15,26,20,9,5,7,18,29,16,4,2,6,30,0,13,24,12,19
4,8,9,28,29,3,1,20,13,15,27,23,26,22,30,18,11,21,19,7,0,16,14,6,10,2,31,12,25,5,17,24
22,13,11,18,5,31,7,29,12,17,16,27,1,30,19,6,21,25,23,8,3,26,20,15,24,10,28,4,0,9,2,14
19,27,15,18,28,1,6,30,13,29,16,2,31,10,9,22,21,11,4,0,7,12,3,26,25,5,8,23,20,17,24,14
22,2,19,9,4,25,27,29,13,28,18,20,21,12,1,26,0,14,10,23,17,8,31,30,15,6,5,24,11,16,3,7
16,29,21,22,2,9,14,1,31,5,27,8,26,30,3,15,23,12,0,18,13,25,7,10,17,6,4,19,24,28,11,20
19,15,17,14,31,29,27,7,13,4,2,8,5,1,24,10,3,26,28,9,12,16,23,20,18,6,11,0,22,21,25,30
31,2,24,16,25,17,14,8,6,28,22,7,5,15,11,10,9,26,18,0,21,30,27,29,3,12,19,1,4,23,20,13
9,28,10,5,0,11,16,7,30,6,14,26,2,24,22,4,13,17,1,23,15,20,21,3,29,12,8,25,31,19,27,18
30,12,0,6,14,13,9,7,25,5,2,28,15,20,8,21,29,18,10,24,23,1,22,27,3,31,26,17,16,4,19,11
