55,4,0
26,8,4887
4656,1,4961
2,1,4983
65,16,25656
6333,38,25682
133,16,25788
37,8,25948
849,16,26296
8797,32,26324
2,2,28046
213,1,28211
284,8,28240
9510,64,28382
27,32,28433
273,32,33950
9565,32,34039
111,1,34145
2,2,34206
14177,8,34229
33,8,34513
56436,1,34589
15360,2,35030
22208,64,35127
37,2,36679
10897,128,36732
190,1,36864
41241,1,36938
5100,16,37397
10067,32,37725
675,1,38662
6548,8,39339
27,8,39355
2,16,39937
34802,128,40214
8,1,40347
11,1,40401
270,1,40425
81,64,40975
19,8,41368
101,1,41386
10388,18,43438
9520,43,43781
20161,1,45977
25,1,46456
6110,8,46540
122,1,46941
22,8,47092
