263,4,0
43201,1,8
10193,22,57
15,1,102
529,23,269
7734,8,508
13936,2,535
26,16,1104
13,64,1552
7745,1,1601
1158,4,1746
9238,1,1872
32455,202,2068
18,1,2098
8005,1,2146
8,5,2173
13,1,3080
26,1,3653
3,3,4328
16,5,4394
247,4,4499
188,2,7532
27064,64,7567
10,1,7698
63,32,7710
9777,8,7749
58,16,7817
9698,9,7834
46650,16,7893
8806,256,7925
137,2,8055
10,32,8099
53,8,8177
19,1,8861
18227,4,8924
99,32,9281
132,16,9286
9,4,9344
14758,8,9390
201,1,9602
416,2,10137
111,2,10262
2,32,10441
26,16,10467
11158,4,10541
78,8,10722
99,1,10808
4,64,10824
