8265,4,0
7036,32,22
292,16,554
37,1,611
14334,16,4415
15,32,4419
15435,2,4709
34,2,4761
72,16,4991
42,1,5144
4047,16,5529
5,4,5604
9024,16,5636
8,16,6313
81,1,6324
9,16,6420
1626,8,6430
8732,136,6536
5679,18,6744
227,2,6763
27,16,7863
1516,2,7893
255,16,8149
383,4,8267
9,16,9226
17,32,9253
8393,2,9308
9040,14,9321
40,1,9356
17,1,9390
10672,8,9399
15975,256,9663
32,16,9702
42,4,9894
59,4,9972
41,5,10203
340,2,10362
7593,8,10556
25237,32,10648
16,32,10686
488,4,10715
10936,8,10732
20,2,10777
63,2,10830
192,8,11612
4,16,11921
6294,16,12034
857,2,12054
