374,70,0
28116,256,56
4,32,159
37,25,194
46,2,5385
66,1,5448
12,32,5518
21,1,6620
62,4,6653
10,32,6834
9238,2,6872
11095,64,6909
7867,32,6972
37,1,7605
9163,2,11392
8,16,11589
43,1,11614
23,1,11710
10166,128,11803
75,1,11827
17,8,12749
17355,32,12808
10427,128,12859
8,7,12885
12792,15,12940
5,16,13034
15120,16,13230
11424,32,13256
6,69,13299
69,1,13317
2882,2,13371
53,2,13400
132,1,13860
30146,16,14053
41,8,14671
13738,128,15100
11641,3,15171
66,8,15187
66,8,15231
49,4,15261
11729,16,15276
59,1,15318
65,1,15356
223,1,15392
51,32,15631
13422,128,15826
45,2,15887
20315,128,16220
