402,8,0
26,1,481
611,1,6160
5713,5,7705
8100,128,7840
4594,64,10550
14423,8,11472
6664,16,13654
45,16,14466
28,4,15703
49,32,18353
20385,128,21022
10198,1,21412
14,1,21422
23835,71,22173
9881,32,22248
7436,1,23363
3,2,23468
97,4,23590
22551,8,23764
35,64,23859
7,2,34080
165,2,35171
3,16,35198
8,4,35636
1913,4,36315
11,64,36438
5,5,36654
16,8,36673
27,1,36771
9859,64,36811
14,1,37081
9949,256,37849
29,1,37851
5,4,37897
7,2,37927
14,1,38042
181,1,38417
3055,1,38871
14,32,38916
8,39,39009
278,4,39034
170,1,39437
15536,128,39583
39009,140,39592
56,6,39602
129,16,39615
13850,1,39718
