109,4,0
8114,16,17
10,16,29
67,2,752
16,1,1248
11,1,2925
484,1,2962
12,16,3124
40,1,3656
117,1,3720
4945,4,3882
3041,32,5460
37,16,6498
59,32,7662
8,8,7669
17,16,7717
16224,128,7772
6441,4,7782
13030,4,7798
5,1,8481
21140,32,9013
10560,64,9382
21,4,102598
6,4,102768
5,2,103095
33,16,103189
18,16,103417
7067,64,104086
16131,1,104174
16,1,104839
13206,32,105295
12014,1,105556
104,1,106137
89,32,116549
189,8,119694
4593,78,119869
3,15,120337
926,4,121780
29475,199,121955
72,16,122938
15,32,124428
6654,2,125702
13,2,125946
135,4,126122
4,16,126498
10,2,126827
16542,2,127802
17,16,131758
