40,1,0
437,1,12
133,32,46
9724,64,59
3539,18,4855
10284,32,5022
2,4,16377
130,8,16413
4,16,16524
452,32,18196
63,4,18251
34,16,18788
11747,128,20879
1723,8,20920
54,2,21846
67,1,22015
11493,1,22151
5632,4,26284
231,37,26501
9318,1,26575
24,8,26651
22,16,26758
7316,2,26777
7115,1,27013
22,16,27122
1535,1,27533
1148,4,27860
91,32,27891
28,4,28045
10,16,28376
7084,2,28791
25,8,28900
182,16,30240
39,32,31263
11121,32,31533
7671,256,33546
5,1,33795
16229,16,54236
9052,8,54607
11959,64,55898
1242,4,56292
23201,64,56482
52,1,56773
3,1,56845
8836,1,58813
3,8,59602
4,2,60002
4,1,60095
