10909,1,0
9967,1,9
11,2,269
6050,2,336
4826,2,443
44269,2,760
7804,8,1294
35,8,1509
154,1,1884
27530,1,2384
38,9,2467
14,32,2510
29,1,2581
187,2,3077
803,25,3310
17,3,3628
25232,32,3770
1112,1,3946
16,8,5789
14618,16,5824
43,16,46723
233,1,47298
13991,32,47913
13,1,47950
9294,2,48089
4,2,52717
52,16,52807
4509,56,53020
84,2,53026
8,2,54350
22,2,54437
8197,64,54488
17835,1,54590
140,64,54675
361,1,54848
316,8,54912
8,32,54968
12823,8,54993
7,2,60792
1188,4,60803
94,1,60967
203,4,61329
9224,2,61717
3104,128,61751
12,2,61804
17,16,61847
2,3,61893
4,2,62588
