9,64,0
4171,32,53
14405,1,68
10836,32,120
4,4,259
6453,32,352
787,2,381
11429,9,464
1829,1,1687
5586,2,3537
13,7,3563
8181,16,3798
160,2,3815
116,2,3823
98,32,3993
190,1,4391
16,4,4613
354,1,5912
24,14,5920
8,1,6000
7127,1,6053
121,32,6462
61,16,6541
159,1,6551
22238,4,6836
11985,32,8773
352,1,8783
28401,32,8867
90,1,9082
64,1,9292
106,16,9586
1758,1,9738
40056,128,9799
14680,32,9846
7021,2,9980
294,32,10098
193,1,10251
2281,2,10555
9496,8,10604
5443,8,10625
41,1,10692
9,16,10707
13,1,11921
2657,1,12132
72,2,12648
69,2,14046
11988,4,14083
62,1,14190
