83,16,0
26315,2,3528
5516,8,3628
10978,256,3638
260,4,7020
1154,10,7282
91,2,7302
11752,32,27135
6112,54,27243
677,16,27310
4411,256,30182
144,1,30227
15,16,30565
5993,128,30577
13,4,30597
536,2,31290
114,15,31373
243,4,31423
8392,1,31715
10134,128,31747
4353,2,31872
12,16,31953
243,32,32124
71,1,32789
12830,1,33200
20,16,33385
94,1,34984
4,8,52509
24796,8,53872
11,32,54920
133,14,62442
23,4,62577
18,2,72512
63,1,72707
18389,2,72748
18,4,72783
20029,8,73783
26873,1,80356
19898,1,80383
73,1,80441
1004,2,80554
31,41,80890
7782,1,81761
78,32,82401
676,1,82492
17440,2,82738
4,4,83202
7926,4,84169
