18713,32,0
207,8,1004
41978,1,1051
10,8,1233
4818,1,1241
7,4,1270
41,2,1305
11392,1,1453
14576,4,1504
990,16,1610
69,31,1672
10641,256,1743
154,6,1904
1197,2,2566
70,1,2676
23456,32,2796
989,32,2801
13255,1,2821
308,4,2836
24248,256,2855
15,1,2942
16717,32,2965
19,16,2991
31994,31,3012
13625,64,3058
5,8,3082
4,2,3145
11,41,3154
23,16,3281
98,2,3289
96,4,3438
12311,32,3847
2,33,3966
4905,157,4035
14919,2,4250
21,2,4269
11,16,4348
6785,2,6339
56,26,6403
1905,1,6444
7,64,6488
8864,1,6500
9646,128,6950
28,2,7051
955,4,7113
212,1,7228
8962,1,7241
67,4,7261
